user_id,session_id,dwell_time_mean,dwell_time_std,dwell_time_min,dwell_time_max,flight_time_mean,flight_time_std,flight_time_min,flight_time_max,up_down_time_mean,up_down_time_std,up_down_time_min,up_down_time_max,id_count,session_duration_sec,keystrokes_per_min,dwell_to_flight_ratio,distance_mean_mean,distance_mean_std,distance_sum_total,speed_mean_mean,speed_mean_std,speed_max_max,click_count_total,click_count_mean,action_count_total,session_duration_sum,session_duration_mean,session_duration_std
33.0,50.5,0.0844041666666666,0.0320744123038274,0.041,0.18225,0.1625208333333333,0.4033586058999515,0.0,3.147,0.1972,0.4332580995610729,0.0,3.224,49.5,596.4465,224.160303548936,0.6430212674027552,0.0,0.0,0.0,0.0,0.0,0.0,29,7.25,29,2556.719,639.17975,799.7677235732781
34.0,52.5,0.3726239837398374,2.3886103669578005,0.0,19.385,0.2816664818920916,0.7256412741496338,0.0,3.9935,0.3153830376940133,0.7460805751212168,0.0,4.0725,53.5,733.519,4.474795360079115,1.1051542857344552,0.0,0.0,0.0,0.0,0.0,0.0,19,9.5,19,1570.839,785.4195,9.391085160938502
35.0,53.0,0.1193636363636363,0.1470633753306252,0.0,0.833,0.2841090909090909,0.7241966056433231,0.0,4.728,0.1988393939393939,0.5622509972011921,0.0,4.816,330.0,1063.783,18.612818591761663,0.4201331114808652,0.0,,0.0,0.0,,0.0,66,66.0,66,1092.936,1092.936,
36.0,53.5,0.128119384495012,0.1051481433177556,0.0,0.926,0.324379229966747,1.157161436781496,0.0,11.4355,0.3263964269413835,1.1721351426862068,0.0,11.558,205.5,880.2455,19.025012491684283,0.5939472460087669,0.0,0.0,0.0,0.0,0.0,0.0,98,32.666666666666664,98,1775.4030000000002,591.801,833.4585864090669
37.0,54.0,0.1226041666666666,0.0330328318867175,0.0,0.187,0.2536354166666666,0.5708495629976091,0.0,3.883,0.3088854166666666,0.6098050399369096,0.0,4.067,96.0,190.748,30.19690901084153,0.4833874081071091,0.0,0.0,0.0,0.0,0.0,0.0,10,5.0,10,191.563,95.7815,135.4554963244386
38.0,54.5,0.0876377966101694,0.0416356447226048,0.0225,0.226,0.1328192372881356,0.2215960280015706,0.0,1.107,0.1662886440677966,0.2572496373447438,0.0,1.275,109.0,1005.4465,6.80658105286617,0.6589788500924074,0.0,0.0,0.0,0.0,0.0,0.0,36,18.0,36,2012.915,1006.4575,247.21089466384765
39.0,55.5,0.0861501951232288,0.0845529986250537,0.0,0.8564999999999999,0.2381995665383305,0.6050878010114528,0.0,6.8105,0.2256562164427333,0.5661679008598834,0.0,6.906,743.5,961.9025,44.66230275069565,0.3717276801080521,0.0,0.0,0.0,0.0,0.0,0.0,230,115.0,230,1930.705,965.3525,111.6387257205132
40.0,56.0,0.0979736263736263,0.1560370429554001,0.0,1.054,0.5973252747252747,2.231104801225486,0.0,24.32,0.4370263736263736,2.1804650908736773,0.0,24.332,455.0,971.759,28.093385294090407,0.1640205605207095,0.0,,0.0,0.0,,0.0,52,52.0,52,966.251,966.251,
41.0,56.0,0.0729379310344827,0.0267111217171093,0.0,0.158,0.2261482758620689,0.5106756858700887,0.0,3.549,0.2557862068965517,0.5298797302490588,0.0,3.607,290.0,3226.625,5.392631619726495,0.3225226049433543,0.0,,0.0,0.0,,0.0,35,35.0,35,3235.308,3235.308,
42.0,57.0,0.0805052053209948,0.0374308734404646,0.0166666666666666,0.1643333333333333,0.1785220262193946,0.3955237309063324,0.0,2.279,0.2100831887410834,0.4201833720306107,0.0,2.372666666666667,60.333333333333336,680.5553333333334,145.7877404623797,0.5513823940381429,0.0,0.0,0.0,0.0,0.0,0.0,37,12.333333333333334,37,2174.354,724.7846666666666,623.2905894607533
43.0,59.5,0.0890832462931064,0.0381970018822243,0.00375,0.18,0.1579058788120986,0.5182367316881755,0.0,4.6935,0.1824987287355295,0.5203511282240012,0.0,4.7165,80.25,528.41275,9.912451582925796,0.5855251003356545,0.0,0.0,0.0,0.0,0.0,0.0,69,13.8,69,2206.693,441.3386,316.35541672350104
44.0,63.0,0.0546646153846153,0.012069407624197,0.0376,0.0828,0.1832684949832776,0.3946411913956608,0.0,1.6995999999999998,0.2044817614269788,0.4174133703914159,0.0,1.7662,23.6,50.4632,344.5582401424919,0.6123415353396282,0.0,0.0,0.0,0.0,0.0,0.0,16,3.2,16,245.231,49.0462,86.9836239081817
45.0,65.5,0.0862593457943925,0.0148833636913768,0.0635,0.123,0.1083621495327102,0.23987099208469,0.0,1.6015,0.1366775700934579,0.2777046648197125,0.0,1.6845,109.0,273.24899999999997,221.1839408928647,0.8153150401586995,0.0,0.0,0.0,0.0,0.0,0.0,47,23.5,47,546.156,273.078,386.19061118572
46.0,67.0,0.0813645732689211,0.0293789652380523,0.021,0.17,0.4177873405177753,1.222148408975906,0.0,7.093333333333334,0.4531843057103926,1.2462273879968264,0.0,7.2,57.333333333333336,299.58599999999996,47.50451715186646,0.2260557342641838,0.0,0.0,0.0,0.0,0.0,0.0,39,13.0,39,2020.828,673.6093333333333,550.4902514135317
