user_id,session_id,distance_mean,distance_std,distance_sum,speed_mean,speed_std,event_count,idle_mean,idle_std,idle_max,session_duration_sec
44.0,61,0.0,0.0,0.0,0.0,0.0,5,277.6228,595.9525488436138,1343.675,44.439
44.0,62,0.0,,0.0,0.0,,1,65840.5,,65840.5,0.0
45.0,62,0.0,0.0,0.0,0.0,0.0,46,12.1368,21.465851142094163,87.745,546.156
45.0,63,0.0,,0.0,0.0,,1,3547.101,,3547.101,0.0
46.0,63,0.0,0.0,0.0,0.0,0.0,16,32.095733333333335,36.05063009646823,120.095,481.436
46.0,64,0.0,,0.0,0.0,,1,360.408,,360.408,0.0
46.0,65,0.0,0.0,0.0,0.0,0.0,5,12377.6358,27644.45918881681,61829.547,58.632
46.0,66,0.0,0.0,0.0,0.0,0.0,3,495.37566666666663,752.3389116882985,1362.935,123.192
46.0,67,0.0,0.0,0.0,0.0,0.0,14,71.22571428571429,112.90244662773021,381.304,615.856
47.0,67,0.0,0.0,0.0,0.0,0.0,7,44.945166666666665,84.04770325337074,215.839,269.671
47.0,68,0.0,0.0,0.0,0.0,0.0,4,260.9925,100.97739261339639,393.014,650.956
47.0,69,0.0,0.0,0.0,0.0,0.0,3,202.428,182.46580313308024,354.675,252.609
47.0,70,0.0,0.0,0.0,0.0,0.0,2,909.7955,1278.3479441155682,1813.724,5.867
48.0,70,0.0,0.0,0.0,0.0,0.0,10,48.40877777777777,49.14679613102409,163.111,435.679
48.0,71,0.0,0.0,0.0,0.0,0.0,5,212.5082,430.19584663580844,981.956,80.585
48.0,72,0.0,0.0,0.0,0.0,0.0,6,292.8063333333333,697.1482770276828,1715.826,41.012
48.0,73,0.0,0.0,0.0,0.0,0.0,7,202.01442857142857,459.19207307068393,1242.607,171.494
49.0,73,0.0,0.0,0.0,0.0,0.0,2,3.993,,3.993,3.993
49.0,74,0.0,0.0,0.0,0.0,0.0,47,34.38578723404255,72.67476066873625,374.293,1241.839
50.0,74,0.0,0.0,0.0,0.0,0.0,6,60.53439999999999,65.18269597293441,132.512,302.672
50.0,75,0.0,,0.0,0.0,,1,628.809,,628.809,0.0
50.0,76,0.0,0.0,0.0,0.0,0.0,2,16704.9985,23595.724074378908,33389.695,20.302
50.0,77,0.0,,0.0,0.0,,1,8721.063,,8721.063,0.0
50.0,78,0.0,0.0,0.0,0.0,0.0,8,1864.7382499999999,5080.860954272268,14436.892,481.014
51.0,78,0.0,0.0,0.0,0.0,0.0,35,23.702323529411764,45.67096552895179,247.102,805.879
51.0,79,0.0,0.0,0.0,0.0,0.0,6,85.50266666666666,131.7269518051134,338.878,174.138
52.0,79,0.0,0.0,0.0,0.0,0.0,15,42.62807142857143,70.2675329573878,258.28,596.793
52.0,80,0.0,0.0,0.0,0.0,0.0,15,37.07913333333333,87.60020592349137,349.393,206.794
53.0,80,0.0,,0.0,0.0,,1,,,,0.0
53.0,81,0.0,0.0,0.0,0.0,0.0,4,193.04,353.2885845235686,722.956,49.204
53.0,82,0.0,0.0,0.0,0.0,0.0,6,140.9585,130.87940175558566,367.352,478.399
53.0,83,0.0,0.0,0.0,0.0,0.0,20,81.26935,88.11138566566574,315.117,1310.27
53.0,84,0.0,0.0,0.0,0.0,0.0,6,99.89233333333333,164.51671245641478,429.962,169.392
53.0,85,0.0,0.0,0.0,0.0,0.0,15,133.99886666666666,165.70050043844884,684.837,1325.146
54.0,85,0.0,0.0,0.0,0.0,0.0,3,36.848,46.48802822232838,69.72,73.696
54.0,86,0.0,0.0,0.0,0.0,0.0,2,250.8965,342.7721335005225,493.273,8.52
55.0,86,0.0,0.0,0.0,0.0,0.0,3,17.259999999999998,12.740649983419212,26.269,34.52
55.0,87,0.0,,0.0,0.0,,1,982.043,,982.043,0.0
55.0,88,0.0,,0.0,0.0,,1,805.698,,805.698,0.0
55.0,89,0.0,0.0,0.0,0.0,0.0,4,2288.792,4418.478989705168,8914.774,240.394
55.0,90,0.0,0.0,0.0,0.0,0.0,3,465.221,715.6838149986347,1289.675,105.988
55.0,91,0.0,0.0,0.0,0.0,0.0,2,801.3965,1078.7599840578532,1564.195,38.598
55.0,92,0.0,,0.0,0.0,,1,585.363,,585.363,0.0
55.0,93,0.0,,0.0,0.0,,1,637.007,,637.007,0.0
