id,action,coordinates,button,delta,distance,speed,user_id,timestamp,time_diff,session_id,x,y,delta_x,delta_y
71087.0,click,"456,370",left,"0,0",0.0,0.0,2.0,2025-03-22 04:13:46.036000+00:00,0.172,5,456,370,0,0
71175.0,click,"384,371",left,"0,0",0.0,0.0,2.0,2025-03-22 04:13:48.608000+00:00,2.572,5,384,371,0,0
71259.0,click,"502,216",left,"0,0",0.0,0.0,2.0,2025-03-22 04:13:53.864000+00:00,5.256,5,502,216,0,0
71386.0,click,"379,484",left,"0,0",0.0,0.0,2.0,2025-03-22 04:14:01.018000+00:00,7.154,5,379,484,0,0
71437.0,click,"521,490",left,"0,0",0.0,0.0,2.0,2025-03-22 04:14:02.858000+00:00,1.84,5,521,490,0,0
71496.0,click,"592,225",left,"0,0",0.0,0.0,2.0,2025-03-22 04:14:05.830000+00:00,2.972,5,592,225,0,0
71565.0,click,"611,222",left,"0,0",0.0,0.0,2.0,2025-03-22 04:14:10.756000+00:00,4.926,5,611,222,0,0
71728.0,click,"483,219",left,"0,0",0.0,0.0,2.0,2025-03-22 04:14:19.886000+00:00,9.13,5,483,219,0,0
71772.0,click,"596,230",left,"0,0",0.0,0.0,2.0,2025-03-22 04:14:28.030000+00:00,8.144,5,596,230,0,0
72075.0,click,"784,499",left,"0,0",0.0,0.0,2.0,2025-03-22 04:14:36.028000+00:00,7.998,5,784,499,0,0
72382.0,click,"496,287",left,"0,0",0.0,0.0,2.0,2025-03-22 04:21:47.827000+00:00,431.799,5,496,287,0,0
72435.0,click,"450,299",left,"0,0",0.0,0.0,2.0,2025-03-22 04:22:03.554000+00:00,15.727,5,450,299,0,0
72442.0,click,"449,296",left,"0,0",0.0,0.0,2.0,2025-03-22 04:22:04.420000+00:00,0.866,5,449,296,0,0
72443.0,click,"449,296",left,"0,0",0.0,0.0,2.0,2025-03-22 04:22:04.623000+00:00,0.203,5,449,296,0,0
72486.0,click,"487,287",left,"0,0",0.0,0.0,2.0,2025-03-22 04:22:08.656000+00:00,4.033,5,487,287,0,0
72778.0,click,"473,280",left,"0,0",0.0,0.0,2.0,2025-03-22 04:22:32.967000+00:00,24.311,5,473,280,0,0
72893.0,click,"467,295",left,"0,0",0.0,0.0,2.0,2025-03-22 04:23:45.997000+00:00,73.03,5,467,295,0,0
72990.0,click,"455,289",left,"0,0",0.0,0.0,2.0,2025-03-22 04:23:56.450000+00:00,10.453,5,455,289,0,0
72991.0,click,"455,289",left,"0,0",0.0,0.0,2.0,2025-03-22 04:23:56.641000+00:00,0.191,5,455,289,0,0
