user_id,session_id,distance_mean,distance_sum,speed_mean,speed_max,click_count,start_time,end_time,action_count,session_duration_sec
45.0,48,0.0,0.0,0.0,0.0,46,2025-05-13 13:33:30.431000+00:00,2025-05-13 13:42:36.587000+00:00,46,546.156
45.0,49,0.0,0.0,0.0,0.0,1,2025-05-13 14:41:43.688000+00:00,2025-05-13 14:41:43.688000+00:00,1,0.0
46.0,49,0.0,0.0,0.0,0.0,17,2025-05-13 13:57:52.859000+00:00,2025-05-13 14:11:54.703000+00:00,17,841.844
46.0,50,0.0,0.0,0.0,0.0,5,2025-05-14 07:22:24.250000+00:00,2025-05-14 07:23:22.882000+00:00,5,58.632
46.0,51,0.0,0.0,0.0,0.0,17,2025-05-14 07:46:05.817000+00:00,2025-05-14 08:04:46.169000+00:00,17,1120.352
47.0,51,0.0,0.0,0.0,0.0,14,2025-05-13 14:04:17.256000+00:00,2025-05-13 14:36:18.181000+00:00,14,1920.925
47.0,52,0.0,0.0,0.0,0.0,2,2025-05-13 15:06:31.905000+00:00,2025-05-13 15:06:37.772000+00:00,2,5.867
48.0,52,0.0,0.0,0.0,0.0,10,2025-05-13 15:18:47.532000+00:00,2025-05-13 15:26:03.211000+00:00,10,435.679
48.0,53,0.0,0.0,0.0,0.0,5,2025-05-13 15:42:25.167000+00:00,2025-05-13 15:43:45.752000+00:00,5,80.585
48.0,54,0.0,0.0,0.0,0.0,6,2025-05-13 16:12:21.578000+00:00,2025-05-13 16:13:02.590000+00:00,6,41.012
48.0,55,0.0,0.0,0.0,0.0,7,2025-05-13 16:33:45.197000+00:00,2025-05-13 16:36:36.691000+00:00,7,171.494
49.0,55,0.0,0.0,0.0,0.0,49,2025-05-13 16:16:01.347000+00:00,2025-05-13 16:43:01.472000+00:00,49,1620.125
50.0,55,0.0,0.0,0.0,0.0,6,2025-05-13 16:52:03.253000+00:00,2025-05-13 16:57:05.925000+00:00,6,302.672
50.0,56,0.0,0.0,0.0,0.0,1,2025-05-13 17:07:34.734000+00:00,2025-05-13 17:07:34.734000+00:00,1,0.0
50.0,57,0.0,0.0,0.0,0.0,2,2025-05-14 02:24:04.429000+00:00,2025-05-14 02:24:24.731000+00:00,2,20.302
50.0,58,0.0,0.0,0.0,0.0,1,2025-05-14 04:49:45.794000+00:00,2025-05-14 04:49:45.794000+00:00,1,0.0
50.0,59,0.0,0.0,0.0,0.0,8,2025-05-14 08:50:22.686000+00:00,2025-05-14 08:58:23.700000+00:00,8,481.014
51.0,59,0.0,0.0,0.0,0.0,41,2025-05-13 16:53:05.332000+00:00,2025-05-13 17:15:04.227000+00:00,41,1318.895
52.0,59,0.0,0.0,0.0,0.0,30,2025-05-13 17:34:33.072000+00:00,2025-05-13 17:53:46.052000+00:00,30,1152.98
53.0,59,0.0,0.0,0.0,0.0,1,2025-05-14 11:24:58.684000+00:00,2025-05-14 11:24:58.684000+00:00,1,0.0
53.0,60,0.0,0.0,0.0,0.0,36,2025-05-14 11:37:01.640000+00:00,2025-05-14 12:29:01.336000+00:00,36,3119.696
53.0,61,0.0,0.0,0.0,0.0,15,2025-05-14 12:40:26.173000+00:00,2025-05-14 13:02:31.319000+00:00,15,1325.146
54.0,61,0.0,0.0,0.0,0.0,5,2025-05-14 09:16:45.967000+00:00,2025-05-14 09:26:21.456000+00:00,5,575.489
55.0,61,0.0,0.0,0.0,0.0,3,2025-05-14 09:06:21.032000+00:00,2025-05-14 09:06:55.552000+00:00,3,34.52
