user_id,distance_mean_mean,distance_mean_std,distance_sum_total,speed_mean_mean,speed_mean_std,speed_max_max,click_count_total,click_count_mean,action_count_total,session_duration_sum,session_duration_mean,session_duration_std
59.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6.5,13,1072.44,536.22,289.578611672202
60.0,0.0,0.0,0.0,0.0,0.0,0.0,190,95.0,190,3979.1580000000004,1989.5790000000002,1092.339969790541
61.0,0.0,,0.0,0.0,,0.0,15,15.0,15,567.607,567.607,
62.0,0.0,0.0,0.0,0.0,0.0,0.0,45,22.5,45,3366.192,1683.096,1638.6662252844537
63.0,0.0,0.0,0.0,0.0,0.0,0.0,113,56.5,113,3504.75,1752.375,1710.1688629980374
64.0,0.0,0.0,0.0,0.0,0.0,0.0,96,48.0,96,2253.2619999999997,1126.6309999999999,1295.8509582702786
66.0,0.0,0.0,0.0,0.0,0.0,0.0,28,14.0,28,1516.424,758.212,1033.0702793914845
67.0,0.0,0.0,0.0,0.0,0.0,0.0,55,18.333333333333332,55,1880.888,626.9626666666667,473.1180231277745
69.0,0.0,,0.0,0.0,,0.0,26,26.0,26,1379.716,1379.716,
70.0,0.0,,0.0,0.0,,0.0,22,22.0,22,1355.545,1355.545,
71.0,0.0,0.0,0.0,0.0,0.0,0.0,59,14.75,59,2330.703,582.67575,438.24787309038936
72.0,0.0,0.0,0.0,0.0,0.0,0.0,84,28.0,84,1863.3090000000002,621.1030000000001,749.9661060367996
74.0,0.0,,0.0,0.0,,0.0,151,151.0,151,3714.507,3714.507,
75.0,0.0,0.0,0.0,0.0,0.0,0.0,32,8.0,32,326.18100000000004,81.54525000000001,20.65327054609028
76.0,0.0,0.0,0.0,0.0,0.0,0.0,57,14.25,57,292.42,73.105,29.967357585657545
77.0,0.0,,0.0,0.0,,0.0,43,43.0,43,1210.622,1210.622,
78.0,0.0,0.0,0.0,0.0,0.0,0.0,65,32.5,65,2444.191,1222.0955,288.04348285024605
79.0,0.0,0.0,0.0,0.0,0.0,0.0,48,16.0,48,3094.428,1031.4759999999999,994.4981788706302
80.0,0.0,,0.0,0.0,,0.0,18,18.0,18,432.977,432.977,
81.0,0.0,,0.0,0.0,,0.0,15,15.0,15,173.579,173.579,
82.0,0.0,0.0,0.0,0.0,0.0,0.0,32,16.0,32,903.288,451.644,555.6105675308921
83.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5.333333333333333,16,618.346,206.11533333333333,250.7325914880898
84.0,0.0,0.0,0.0,0.0,0.0,0.0,40,10.0,40,626.7760000000001,156.69400000000002,189.54424624521494
85.0,0.0,,0.0,0.0,,0.0,26,26.0,26,329.049,329.049,
